DateID,Year,Month,Dayweek,Day of week,WeekdayNum
Date2021117,2021,11,Sunday,Weekend,7
Date2021114,2021,11,Thursday,Weekday,4
Date2021112,2021,11,Tuesday,Weekday,2
Date2021113,2021,11,Wednesday,Weekday,3
Date2021105,2021,10,Friday,Weekday,5
Date2021105,2021,10,Friday,Weekend,5
Date2021101,2021,10,Monday,Weekend,1
Date2021101,2021,10,Monday,Weekday,1
Date2021106,2021,10,Saturday,Weekend,6
Date2021107,2021,10,Sunday,Weekend,7
Date2021104,2021,10,Thursday,Weekday,4
Date2021102,2021,10,Tuesday,Weekday,2
Date2021103,2021,10,Wednesday,Weekday,3
Date2021095,2021,9,Friday,Weekday,5
Date2021095,2021,9,Friday,Weekend,5
Date2021091,2021,9,Monday,Weekday,1
Date2021096,2021,9,Saturday,Weekend,6
Date2021097,2021,9,Sunday,Weekend,7
Date2021094,2021,9,Thursday,Weekday,4
Date2021092,2021,9,Tuesday,Weekday,2
Date2021093,2021,9,Wednesday,Weekday,3
Date2021085,2021,8,Friday,Weekday,5
Date2021085,2021,8,Friday,Weekend,5
Date2021081,2021,8,Monday,Weekend,1
Date2021081,2021,8,Monday,Weekday,1
Date2021086,2021,8,Saturday,Weekend,6
Date2021087,2021,8,Sunday,Weekend,7
Date2021084,2021,8,Thursday,Weekday,4
Date2021082,2021,8,Tuesday,Weekday,2
Date2021083,2021,8,Wednesday,Weekday,3
Date2021075,2021,7,Friday,Weekday,5
Date2021075,2021,7,Friday,Weekend,5
Date2021071,2021,7,Monday,Weekend,1
Date2021071,2021,7,Monday,Weekday,1
Date2021076,2021,7,Saturday,Weekend,6
Date2021077,2021,7,Sunday,Weekend,7
Date2021074,2021,7,Thursday,Weekday,4
Date2021072,2021,7,Tuesday,Weekday,2
Date2021073,2021,7,Wednesday,Weekday,3
Date2021065,2021,6,Friday,Weekday,5
Date2021065,2021,6,Friday,Weekend,5
Date2021061,2021,6,Monday,Weekend,1
Date2021061,2021,6,Monday,Weekday,1
Date2021066,2021,6,Saturday,Weekend,6
Date2021067,2021,6,Sunday,Weekend,7
Date2021064,2021,6,Thursday,Weekday,4
Date2021062,2021,6,Tuesday,Weekday,2
Date2021063,2021,6,Wednesday,Weekday,3
Date2021055,2021,5,Friday,Weekday,5
Date2021055,2021,5,Friday,Weekend,5
Date2021051,2021,5,Monday,Weekday,1
Date2021056,2021,5,Saturday,Weekend,6
Date2021057,2021,5,Sunday,Weekend,7
Date2021054,2021,5,Thursday,Weekday,4
Date2021052,2021,5,Tuesday,Weekday,2
Date2021053,2021,5,Wednesday,Weekday,3
Date2021045,2021,4,Friday,Weekday,5
Date2021045,2021,4,Friday,Weekend,5
Date2021041,2021,4,Monday,Weekday,1
Date2021046,2021,4,Saturday,Weekend,6
Date2021047,2021,4,Sunday,Weekend,7
Date2021044,2021,4,Thursday,Weekday,4
Date2021042,2021,4,Tuesday,Weekday,2
Date2021043,2021,4,Wednesday,Weekday,3
Date2021035,2021,3,Friday,Weekday,5
Date2021035,2021,3,Friday,Weekend,5
Date2021031,2021,3,Monday,Weekend,1
Date2021031,2021,3,Monday,Weekday,1
Date2021036,2021,3,Saturday,Weekend,6
Date2021037,2021,3,Sunday,Weekend,7
Date2021034,2021,3,Thursday,Weekday,4
Date2021032,2021,3,Tuesday,Weekday,2
Date2021033,2021,3,Wednesday,Weekday,3
Date2021025,2021,2,Friday,Weekday,5
Date2021025,2021,2,Friday,Weekend,5
Date2021021,2021,2,Monday,Weekend,1
Date2021021,2021,2,Monday,Weekday,1
Date2021026,2021,2,Saturday,Weekend,6
Date2021027,2021,2,Sunday,Weekend,7
Date2021024,2021,2,Thursday,Weekday,4
Date2021022,2021,2,Tuesday,Weekday,2
Date2021023,2021,2,Wednesday,Weekday,3
Date2021015,2021,1,Friday,Weekday,5
Date2021015,2021,1,Friday,Weekend,5
Date2021011,2021,1,Monday,Weekend,1
Date2021011,2021,1,Monday,Weekday,1
Date2021016,2021,1,Saturday,Weekend,6
Date2021017,2021,1,Sunday,Weekend,7
Date2021014,2021,1,Thursday,Weekday,4
Date2021012,2021,1,Tuesday,Weekday,2
Date2021013,2021,1,Wednesday,Weekday,3
Date2020125,2020,12,Friday,Weekday,5
Date2020125,2020,12,Friday,Weekend,5
Date2020121,2020,12,Monday,Weekend,1
Date2020121,2020,12,Monday,Weekday,1
Date2020126,2020,12,Saturday,Weekend,6
Date2020127,2020,12,Sunday,Weekend,7
Date2020124,2020,12,Thursday,Weekday,4
Date2020122,2020,12,Tuesday,Weekday,2
Date2020123,2020,12,Wednesday,Weekday,3
Date2020115,2020,11,Friday,Weekday,5
Date2020115,2020,11,Friday,Weekend,5
Date2020111,2020,11,Monday,Weekend,1
Date2020111,2020,11,Monday,Weekday,1
Date2020116,2020,11,Saturday,Weekend,6
Date2020117,2020,11,Sunday,Weekend,7
Date2020114,2020,11,Thursday,Weekday,4
Date2020112,2020,11,Tuesday,Weekday,2
Date2020113,2020,11,Wednesday,Weekday,3
Date2020105,2020,10,Friday,Weekday,5
Date2020105,2020,10,Friday,Weekend,5
Date2020101,2020,10,Monday,Weekday,1
Date2020106,2020,10,Saturday,Weekend,6
Date2020107,2020,10,Sunday,Weekend,7
Date2020104,2020,10,Thursday,Weekday,4
Date2020102,2020,10,Tuesday,Weekday,2
Date2020103,2020,10,Wednesday,Weekday,3
Date2020095,2020,9,Friday,Weekday,5
Date2020095,2020,9,Friday,Weekend,5
Date2020091,2020,9,Monday,Weekend,1
Date2020091,2020,9,Monday,Weekday,1
Date2020096,2020,9,Saturday,Weekend,6
Date2020097,2020,9,Sunday,Weekend,7
Date2020094,2020,9,Thursday,Weekday,4
Date2020092,2020,9,Tuesday,Weekday,2
Date2020093,2020,9,Wednesday,Weekday,3
Date2020085,2020,8,Friday,Weekday,5
Date2020085,2020,8,Friday,Weekend,5
Date2020081,2020,8,Monday,Weekend,1
Date2020081,2020,8,Monday,Weekday,1
Date2020086,2020,8,Saturday,Weekend,6
Date2020087,2020,8,Sunday,Weekend,7
Date2020084,2020,8,Thursday,Weekday,4
Date2020082,2020,8,Tuesday,Weekday,2
Date2020083,2020,8,Wednesday,Weekday,3
Date2020075,2020,7,Friday,Weekday,5
Date2020075,2020,7,Friday,Weekend,5
Date2020071,2020,7,Monday,Weekday,1
Date2020076,2020,7,Saturday,Weekend,6
Date2020077,2020,7,Sunday,Weekend,7
Date2020074,2020,7,Thursday,Weekday,4
Date2020072,2020,7,Tuesday,Weekday,2
Date2020073,2020,7,Wednesday,Weekday,3
Date2020065,2020,6,Friday,Weekday,5
Date2020065,2020,6,Friday,Weekend,5
Date2020061,2020,6,Monday,Weekend,1
Date2020061,2020,6,Monday,Weekday,1
Date2020066,2020,6,Saturday,Weekend,6
Date2020067,2020,6,Sunday,Weekend,7
Date2020064,2020,6,Thursday,Weekday,4
Date2020062,2020,6,Tuesday,Weekday,2
Date2020063,2020,6,Wednesday,Weekday,3
Date2020055,2020,5,Friday,Weekday,5
Date2020055,2020,5,Friday,Weekend,5
Date2020051,2020,5,Monday,Weekend,1
Date2020051,2020,5,Monday,Weekday,1
Date2020056,2020,5,Saturday,Weekend,6
Date2020057,2020,5,Sunday,Weekend,7
Date2020054,2020,5,Thursday,Weekday,4
Date2020052,2020,5,Tuesday,Weekday,2
Date2020053,2020,5,Wednesday,Weekday,3
Date2020045,2020,4,Friday,Weekday,5
Date2020045,2020,4,Friday,Weekend,5
Date2020041,2020,4,Monday,Weekend,1
Date2020041,2020,4,Monday,Weekday,1
Date2020046,2020,4,Saturday,Weekend,6
Date2020047,2020,4,Sunday,Weekend,7
Date2020044,2020,4,Thursday,Weekday,4
Date2020042,2020,4,Tuesday,Weekday,2
Date2020043,2020,4,Wednesday,Weekday,3
Date2020035,2020,3,Friday,Weekday,5
Date2020035,2020,3,Friday,Weekend,5
Date2020031,2020,3,Monday,Weekend,1
Date2020031,2020,3,Monday,Weekday,1
Date2020036,2020,3,Saturday,Weekend,6
Date2020037,2020,3,Sunday,Weekend,7
Date2020034,2020,3,Thursday,Weekday,4
Date2020032,2020,3,Tuesday,Weekday,2
Date2020033,2020,3,Wednesday,Weekday,3
Date2020025,2020,2,Friday,Weekday,5
Date2020025,2020,2,Friday,Weekend,5
Date2020021,2020,2,Monday,Weekday,1
Date2020026,2020,2,Saturday,Weekend,6
Date2020027,2020,2,Sunday,Weekend,7
Date2020024,2020,2,Thursday,Weekday,4
Date2020022,2020,2,Tuesday,Weekday,2
Date2020023,2020,2,Wednesday,Weekday,3
Date2020015,2020,1,Friday,Weekday,5
Date2020015,2020,1,Friday,Weekend,5
Date2020011,2020,1,Monday,Weekend,1
Date2020011,2020,1,Monday,Weekday,1
Date2020016,2020,1,Saturday,Weekend,6
Date2020017,2020,1,Sunday,Weekend,7
Date2020014,2020,1,Thursday,Weekday,4
Date2020012,2020,1,Tuesday,Weekday,2
Date2020013,2020,1,Wednesday,Weekday,3
Date2019125,2019,12,Friday,Weekday,5
Date2019125,2019,12,Friday,Weekend,5
Date2019121,2019,12,Monday,Weekend,1
Date2019121,2019,12,Monday,Weekday,1
Date2019126,2019,12,Saturday,Weekend,6
Date2019127,2019,12,Sunday,Weekend,7
Date2019124,2019,12,Thursday,Weekday,4
Date2019122,2019,12,Tuesday,Weekday,2
Date2019123,2019,12,Wednesday,Weekday,3
Date2019115,2019,11,Friday,Weekday,5
Date2019115,2019,11,Friday,Weekend,5
Date2019111,2019,11,Monday,Weekend,1
Date2019111,2019,11,Monday,Weekday,1
Date2019116,2019,11,Saturday,Weekend,6
Date2019117,2019,11,Sunday,Weekend,7
Date2019114,2019,11,Thursday,Weekday,4
Date2019112,2019,11,Tuesday,Weekday,2
Date2019113,2019,11,Wednesday,Weekday,3
Date2019105,2019,10,Friday,Weekday,5
Date2019105,2019,10,Friday,Weekend,5
Date2019101,2019,10,Monday,Weekend,1
Date2019101,2019,10,Monday,Weekday,1
Date2019106,2019,10,Saturday,Weekend,6
Date2019107,2019,10,Sunday,Weekend,7
Date2019104,2019,10,Thursday,Weekday,4
Date2019102,2019,10,Tuesday,Weekday,2
Date2019103,2019,10,Wednesday,Weekday,3
Date2019095,2019,9,Friday,Weekday,5
Date2019095,2019,9,Friday,Weekend,5
Date2019091,2019,9,Monday,Weekday,1
Date2019096,2019,9,Saturday,Weekend,6
Date2019097,2019,9,Sunday,Weekend,7
Date2019094,2019,9,Thursday,Weekday,4
Date2019092,2019,9,Tuesday,Weekday,2
Date2019093,2019,9,Wednesday,Weekday,3
Date2019085,2019,8,Friday,Weekday,5
Date2019085,2019,8,Friday,Weekend,5
Date2019081,2019,8,Monday,Weekend,1
Date2019081,2019,8,Monday,Weekday,1
Date2019086,2019,8,Saturday,Weekend,6
Date2019087,2019,8,Sunday,Weekend,7
Date2019084,2019,8,Thursday,Weekday,4
Date2019082,2019,8,Tuesday,Weekday,2
Date2019083,2019,8,Wednesday,Weekday,3
Date2019075,2019,7,Friday,Weekday,5
Date2019075,2019,7,Friday,Weekend,5
Date2019071,2019,7,Monday,Weekend,1
Date2019071,2019,7,Monday,Weekday,1
Date2019076,2019,7,Saturday,Weekend,6
Date2019077,2019,7,Sunday,Weekend,7
Date2019074,2019,7,Thursday,Weekday,4
Date2019072,2019,7,Tuesday,Weekday,2
Date2019073,2019,7,Wednesday,Weekday,3
Date2019065,2019,6,Friday,Weekday,5
Date2019065,2019,6,Friday,Weekend,5
Date2019061,2019,6,Monday,Weekend,1
Date2019061,2019,6,Monday,Weekday,1
Date2019066,2019,6,Saturday,Weekend,6
Date2019067,2019,6,Sunday,Weekend,7
Date2019064,2019,6,Thursday,Weekday,4
Date2019062,2019,6,Tuesday,Weekday,2
Date2019063,2019,6,Wednesday,Weekday,3
Date2019055,2019,5,Friday,Weekday,5
Date2019055,2019,5,Friday,Weekend,5
Date2019051,2019,5,Monday,Weekend,1
Date2019051,2019,5,Monday,Weekday,1
Date2019056,2019,5,Saturday,Weekend,6
Date2019057,2019,5,Sunday,Weekend,7
Date2019054,2019,5,Thursday,Weekday,4
Date2019052,2019,5,Tuesday,Weekday,2
Date2019053,2019,5,Wednesday,Weekday,3
Date2019045,2019,4,Friday,Weekday,5
Date2019045,2019,4,Friday,Weekend,5
Date2019041,2019,4,Monday,Weekend,1
Date2019041,2019,4,Monday,Weekday,1
Date2019046,2019,4,Saturday,Weekend,6
Date2019047,2019,4,Sunday,Weekend,7
Date2019044,2019,4,Thursday,Weekday,4
Date2019042,2019,4,Tuesday,Weekday,2
Date2019043,2019,4,Wednesday,Weekday,3
Date2019035,2019,3,Friday,Weekday,5
Date2019035,2019,3,Friday,Weekend,5
Date2019031,2019,3,Monday,Weekend,1
Date2019031,2019,3,Monday,Weekday,1
Date2019036,2019,3,Saturday,Weekend,6
