LGAID,LGAName,Countofdwellings,LGACode,Population
LGAID262,Napranum,265,35670,924.0
LGAID263,Noosa,28715,35740,58367.0
LGAID264,North Burnett,5494,35760,10352.0
LGAID265,Northern Peninsula Area,1100,35780,2908.0
LGAID266,Palm Island,562,35790,2214.0
LGAID267,Paroo,1173,35800,1725.0
LGAID268,Pormpuraaw,253,36070,644.0
LGAID269,Quilpie,507,36150,709.0
LGAID270,Redland,65216,36250,166809.0
LGAID271,Richmond,438,36300,781.0
LGAID272,Rockhampton,35813,36370,84517.0
LGAID273,Scenic Rim,18468,36510,45248.0
LGAID274,Somerset,11020,36580,26251.0
LGAID275,South Burnett,16096,36630,34290.0
LGAID276,Southern Downs,17447,36660,37444.0
LGAID277,Sunshine Coast,149005,36720,365942.0
LGAID278,Tablelands,13184,36820,27259.0
LGAID279,Toowoomba,74054,36910,181821.0
LGAID280,Torres,1349,36950,3502.0
LGAID281,Torres Strait Island,1357,36960,4286.0
LGAID282,Townsville,83412,37010,201433.0
LGAID283,Weipa,1839,37300,4251.0
LGAID284,Western Downs,16165,37310,34991.0
LGAID285,Whitsunday,18043,37340,39712.0
LGAID286,Winton,872,37400,1138.0
LGAID287,Woorabinda,316,37550,1081.0
LGAID288,Wujal Wujal,93,37570,293.0
LGAID289,Yarrabah,524,37600,2640.0
LGAID290,Migratory - Offshore - Shipping (Qld),98,,
LGAID291,Adelaide,14766,40070,27901.0
LGAID292,Adelaide Hills,16270,40120,41842.0
LGAID293,Adelaide Plains,4006,40150,10932.0
LGAID294,Alexandrina,16760,40220,30323.0
LGAID295,Anangu Pitjantjatjara Yunkunytjatjara,778,,
LGAID296,Barossa,11044,40310,26268.0
LGAID297,Barunga West,1928,40430,2680.0
LGAID298,Berri Barmera,5257,40520,10730.0
LGAID299,Burnside,19630,40700,47444.0
LGAID300,Campbelltown (SA),23247,40910,57160.0
LGAID301,Ceduna,1909,41010,3717.0
LGAID302,Charles Sturt,54847,41060,127440.0
LGAID303,Clare and Gilbert Valleys,4678,41140,9405.0
LGAID304,Cleve,975,41190,1757.0
LGAID305,Coober Pedy,1481,41330,1550.0
LGAID306,Copper Coast,9242,41560,15951.0
LGAID307,Elliston,849,41750,1041.0
LGAID308,Flinders Ranges,1084,41830,1673.0
LGAID309,Franklin Harbour,876,41960,1332.0
LGAID310,Gawler,11126,42030,26789.0
LGAID311,Goyder,2371,42110,4132.0
LGAID312,Grant,3745,42250,9044.0
LGAID313,Holdfast Bay,18707,42600,38766.0
LGAID314,Kangaroo Island,3350,42750,5125.0
LGAID315,Karoonda East Murray,610,43080,1016.0
LGAID316,Kimba,616,43220,1059.0
LGAID317,Kingston (SA),1733,43360,2393.0
LGAID318,Light,6046,43650,16616.0
LGAID319,Lower Eyre Peninsula,3028,43710,6154.0
LGAID320,Loxton Waikerie,5787,43790,11897.0
LGAID321,Maralinga Tjarutja,41,44000,102.0
LGAID322,Marion,41654,44060,98493.0
LGAID323,Mid Murray,7413,44210,9496.0
LGAID324,Mitcham,27169,44340,69542.0
LGAID325,Mount Barker,16054,44550,42297.0
LGAID326,Mount Gambier,12789,44620,27846.0
LGAID327,Mount Remarkable,1866,44830,2897.0
LGAID328,Murray Bridge,10164,45040,22901.0
LGAID329,Naracoorte Lucindale,4076,45090,8928.0
LGAID330,Northern Areas,2424,45120,4667.0
LGAID331,Norwood Payneham and St Peters,18126,45290,39312.0
LGAID332,Onkaparinga,75493,45340,180865.0
LGAID333,Orroroo Carrieton,541,45400,889.0
LGAID334,Peterborough,1073,45540,1683.0
LGAID335,Playford,39505,45680,107069.0
LGAID336,Port Adelaide Enfield,56716,45890,138585.0
LGAID337,Port Augusta,7015,46090,14420.0
LGAID338,Port Lincoln,6970,46300,15018.0
LGAID339,Port Pirie,8589,46450,17602.0
LGAID340,Prospect,9474,46510,23137.0
LGAID341,Renmark Paringa,4669,46670,10107.0
LGAID342,Robe,1669,46860,1603.0
LGAID343,Roxby Downs,1781,46970,4113.0
LGAID344,Salisbury,57117,47140,149214.0
LGAID345,Southern Mallee,1077,47290,2012.0
LGAID346,Streaky Bay,1393,47490,2278.0
LGAID347,Tatiara,3194,47630,7066.0
LGAID348,Tea Tree Gully,41034,47700,103685.0
LGAID349,Coorong,3106,47800,5612.0
LGAID350,Tumby Bay,1681,47910,2906.0
LGAID351,Unley,17360,47980,39929.0
LGAID352,Victor Harbor,9764,48050,16869.0
LGAID353,Wakefield,3348,48130,6958.0
LGAID354,Walkerville,3663,48260,8420.0
LGAID355,Wattle Range,6114,48340,12257.0
LGAID356,West Torrens,27977,48410,64519.0
LGAID357,Whyalla,11247,48540,21902.0
LGAID358,Wudinna,616,48640,1161.0
LGAID359,Yankalilla,4403,48750,6100.0
LGAID360,Yorke Peninsula,10310,48830,12040.0
LGAID361,Unincorporated SA,2910,49399,3015.0
LGAID362,Migratory - Offshore - Shipping (SA),11,,
LGAID363,Albany,18033,50080,40949.0
LGAID364,Armadale,36306,50210,105094.0
LGAID365,Ashburton,3727,50250,8076.0
LGAID366,Augusta Margaret River,8918,50280,18620.0
LGAID367,Bassendean,7187,50350,16914.0
LGAID368,Bayswater,32165,50420,74283.0
LGAID369,Belmont,20355,50490,45976.0
LGAID370,Beverley,971,50560,1768.0
