Date,Number of fatal crashes,Number Fatalities,DateID
2005-12-18,4,6,Date2005127
2005-12-19,6,6,Date2005121
2005-12-19,6,6,Date2005121
2005-12-20,6,6,Date2005122
2005-12-21,6,6,Date2005123
2005-12-22,7,7,Date2005124
2005-12-23,6,6,Date2005125
2005-12-23,6,6,Date2005125
2005-12-24,3,4,Date2005126
2005-12-25,3,4,Date2005127
2005-12-26,5,7,Date2005121
2005-12-26,5,7,Date2005121
2005-12-27,7,9,Date2005122
2005-12-28,2,3,Date2005123
2005-12-29,2,2,Date2005124
2005-12-30,3,3,Date2005125
2005-12-30,3,3,Date2005125
2005-12-31,10,11,Date2005126
2006-01-01,3,7,Date2006017
2006-01-02,4,4,Date2006011
2006-01-02,4,4,Date2006011
2006-01-03,6,9,Date2006012
2006-01-04,3,4,Date2006013
2006-01-05,3,3,Date2006014
2006-01-06,6,7,Date2006015
2006-01-06,6,7,Date2006015
2006-01-07,8,9,Date2006016
2006-01-08,2,3,Date2006017
2006-01-09,1,1,Date2006011
2006-01-09,1,1,Date2006011
2006-01-10,4,4,Date2006012
2006-01-11,4,4,Date2006013
2006-01-12,3,3,Date2006014
2006-01-13,2,2,Date2006015
2006-01-13,2,2,Date2006015
2006-01-14,4,4,Date2006016
2006-01-15,4,4,Date2006017
2006-01-16,7,7,Date2006011
2006-01-16,7,7,Date2006011
2006-01-17,2,3,Date2006012
2006-01-18,5,5,Date2006013
2006-01-19,8,9,Date2006014
2006-01-20,7,7,Date2006015
2006-01-20,7,7,Date2006015
2006-01-21,5,5,Date2006016
2006-01-22,9,12,Date2006017
2006-01-23,3,3,Date2006011
2006-01-23,3,3,Date2006011
2006-01-24,2,3,Date2006012
2006-01-25,3,4,Date2006013
2006-01-26,5,9,Date2006014
2006-01-27,4,4,Date2006015
2006-01-27,4,4,Date2006015
2006-01-28,4,4,Date2006016
2006-01-29,4,4,Date2006017
2006-01-30,5,5,Date2006011
2006-01-30,5,5,Date2006011
2006-01-31,3,3,Date2006012
2006-02-01,2,2,Date2006023
2006-02-02,2,2,Date2006024
2006-02-03,3,3,Date2006025
2006-02-03,3,3,Date2006025
2006-02-04,4,4,Date2006026
2006-02-05,2,2,Date2006027
2006-02-06,3,4,Date2006021
2006-02-07,1,1,Date2006022
2006-02-08,3,3,Date2006023
2006-02-09,4,4,Date2006024
2006-02-10,5,5,Date2006025
2006-02-10,5,5,Date2006025
2006-02-11,3,4,Date2006026
2006-02-12,5,5,Date2006027
2006-02-13,5,5,Date2006021
2006-02-14,4,4,Date2006022
2006-02-15,4,4,Date2006023
2006-02-16,4,4,Date2006024
2006-02-17,6,6,Date2006025
2006-02-17,6,6,Date2006025
2006-02-18,11,16,Date2006026
2006-02-19,4,4,Date2006027
2006-02-20,2,2,Date2006021
2006-02-21,2,2,Date2006022
2006-02-22,4,4,Date2006023
2006-02-23,5,5,Date2006024
2006-02-24,7,7,Date2006025
2006-02-24,7,7,Date2006025
2006-02-25,9,14,Date2006026
2006-02-26,2,3,Date2006027
2006-02-27,5,6,Date2006021
2006-02-28,2,2,Date2006022
2006-03-01,2,2,Date2006033
2006-03-02,0,0,Date2006034
2006-03-03,4,4,Date2006035
2006-03-03,4,4,Date2006035
2006-03-04,5,5,Date2006036
2006-03-05,4,4,Date2006037
2006-03-06,2,2,Date2006031
2006-03-06,2,2,Date2006031
2006-03-07,1,1,Date2006032
2006-03-08,2,3,Date2006033
2006-03-09,2,2,Date2006034
2006-03-10,6,7,Date2006035
2006-03-10,6,7,Date2006035
2006-03-11,5,5,Date2006036
2006-03-12,6,7,Date2006037
2006-03-13,1,1,Date2006031
2006-03-13,1,1,Date2006031
2006-03-14,3,3,Date2006032
2006-03-15,7,7,Date2006033
2006-03-16,1,1,Date2006034
2006-03-17,1,1,Date2006035
2006-03-17,1,1,Date2006035
2006-03-18,7,8,Date2006036
2006-03-19,3,3,Date2006037
2006-03-20,2,2,Date2006031
2006-03-20,2,2,Date2006031
2006-03-21,4,4,Date2006032
2006-03-22,4,4,Date2006033
2006-03-23,5,5,Date2006034
2006-03-24,7,8,Date2006035
2006-03-24,7,8,Date2006035
2006-03-25,8,9,Date2006036
2006-03-26,6,7,Date2006037
2006-03-27,8,8,Date2006031
2006-03-27,8,8,Date2006031
2006-03-28,4,4,Date2006032
2006-03-29,7,8,Date2006033
2006-03-30,1,1,Date2006034
2006-03-31,5,5,Date2006035
2006-03-31,5,5,Date2006035
2006-04-01,5,5,Date2006046
2006-04-02,7,7,Date2006047
2006-04-03,1,1,Date2006041
2006-04-03,1,1,Date2006041
2006-04-04,1,1,Date2006042
2006-04-05,3,4,Date2006043
2006-04-06,4,4,Date2006044
2006-04-07,3,7,Date2006045
2006-04-07,3,7,Date2006045
2006-04-08,3,4,Date2006046
2006-04-09,5,6,Date2006047
2006-04-10,3,3,Date2006041
2006-04-10,3,3,Date2006041
2006-04-11,2,3,Date2006042
2006-04-12,2,4,Date2006043
2006-04-13,3,3,Date2006044
2006-04-14,4,4,Date2006045
2006-04-14,4,4,Date2006045
2006-04-15,2,2,Date2006046
2006-04-16,3,3,Date2006047
2006-04-17,6,10,Date2006041
2006-04-17,6,10,Date2006041
2006-04-18,2,2,Date2006042
2006-04-19,6,6,Date2006043
2006-04-20,1,1,Date2006044
2006-04-21,3,3,Date2006045
2006-04-21,3,3,Date2006045
2006-04-22,1,1,Date2006046
2006-04-23,3,4,Date2006047
2006-04-24,4,5,Date2006041
2006-04-24,4,5,Date2006041
2006-04-25,6,7,Date2006042
2006-04-26,8,8,Date2006043
2006-04-27,5,5,Date2006044
2006-04-28,5,6,Date2006045
2006-04-28,5,6,Date2006045
2006-04-29,1,1,Date2006046
2006-04-30,4,4,Date2006047
2006-05-01,2,2,Date2006051
2006-05-01,2,2,Date2006051
2006-05-02,2,2,Date2006052
2006-05-03,5,9,Date2006053
2006-05-04,4,5,Date2006054
2006-05-05,6,6,Date2006055
2006-05-05,6,6,Date2006055
2006-05-06,7,8,Date2006056
2006-05-07,4,4,Date2006057
2006-05-08,2,3,Date2006051
2006-05-08,2,3,Date2006051
2006-05-09,2,2,Date2006052
2006-05-10,2,2,Date2006053
2006-05-11,1,1,Date2006054
2006-05-12,5,5,Date2006055
2006-05-12,5,5,Date2006055
2006-05-13,7,7,Date2006056
2006-05-14,6,6,Date2006057
2006-05-15,2,2,Date2006051
2006-05-15,2,2,Date2006051
2006-05-16,1,1,Date2006052
2006-05-17,3,3,Date2006053
2006-05-18,2,2,Date2006054
2006-05-19,4,4,Date2006055
2006-05-19,4,4,Date2006055
2006-05-20,4,4,Date2006056
2006-05-21,9,9,Date2006057
2006-05-22,4,4,Date2006051
2006-05-22,4,4,Date2006051
2006-05-23,4,5,Date2006052
2006-05-24,7,7,Date2006053
2006-05-25,2,2,Date2006054
2006-05-26,6,6,Date2006055
2006-05-26,6,6,Date2006055
2006-05-27,3,4,Date2006056
2006-05-28,4,6,Date2006057
2006-05-29,4,4,Date2006051
2006-05-29,4,4,Date2006051
2006-05-30,3,3,Date2006052
2006-05-31,4,4,Date2006053
2006-06-01,4,4,Date2006064
2006-06-02,5,5,Date2006065
2006-06-02,5,5,Date2006065
2006-06-03,2,2,Date2006066
2006-06-04,5,5,Date2006067
2006-06-05,5,6,Date2006061
2006-06-05,5,6,Date2006061
2006-06-06,5,5,Date2006062
2006-06-07,3,3,Date2006063
2006-06-08,3,3,Date2006064
2006-06-09,4,4,Date2006065
2006-06-09,4,4,Date2006065
2006-06-10,2,2,Date2006066
2006-06-11,4,5,Date2006067
2006-06-12,4,5,Date2006061
2006-06-12,4,5,Date2006061
2006-06-13,7,8,Date2006062
2006-06-14,1,1,Date2006063
2006-06-15,2,2,Date2006064
2006-06-16,6,7,Date2006065
2006-06-16,6,7,Date2006065
2006-06-17,7,8,Date2006066
2006-06-18,5,6,Date2006067
2006-06-19,7,9,Date2006061
2006-06-19,7,9,Date2006061
2006-06-20,4,4,Date2006062
2006-06-21,5,5,Date2006063
2006-06-22,7,7,Date2006064
2006-06-23,5,5,Date2006065
2006-06-23,5,5,Date2006065
2006-06-24,6,6,Date2006066
2006-06-25,1,1,Date2006067
2006-06-26,3,3,Date2006061
2006-06-26,3,3,Date2006061
2006-06-27,4,6,Date2006062
2006-06-28,3,3,Date2006063
2006-06-29,3,3,Date2006064
2006-06-30,3,3,Date2006065
2006-06-30,3,3,Date2006065
2006-07-01,3,3,Date2006076
2006-07-02,0,0,Date2006077
2006-07-03,2,2,Date2006071
2006-07-03,2,2,Date2006071
2006-07-04,1,1,Date2006072
2006-07-05,0,0,Date2006073
2006-07-06,0,0,Date2006074
2006-07-07,3,4,Date2006075
2006-07-07,3,4,Date2006075
2006-07-08,7,10,Date2006076
2006-07-09,7,7,Date2006077
2006-07-10,5,7,Date2006071
2006-07-10,5,7,Date2006071
2006-07-11,1,1,Date2006072
2006-07-12,5,5,Date2006073
2006-07-13,7,7,Date2006074
2006-07-14,5,6,Date2006075
2006-07-14,5,6,Date2006075
2006-07-15,5,6,Date2006076
2006-07-16,1,1,Date2006077
2006-07-17,0,0,Date2006071
2006-07-17,0,0,Date2006071
2006-07-18,5,5,Date2006072
2006-07-19,4,4,Date2006073
2006-07-20,1,1,Date2006074
2006-07-21,4,4,Date2006075
2006-07-21,4,4,Date2006075
2006-07-22,2,2,Date2006076
2006-07-23,7,8,Date2006077
2006-07-24,5,6,Date2006071
2006-07-24,5,6,Date2006071
2006-07-25,2,2,Date2006072
2006-07-26,3,4,Date2006073
2006-07-27,5,6,Date2006074
2006-07-28,6,7,Date2006075
2006-07-28,6,7,Date2006075
2006-07-29,0,0,Date2006076
2006-07-30,5,5,Date2006077
2006-07-31,1,1,Date2006071
2006-07-31,1,1,Date2006071
2006-08-01,3,3,Date2006082
2006-08-02,5,6,Date2006083
2006-08-03,3,4,Date2006084
2006-08-04,4,6,Date2006085
2006-08-04,4,6,Date2006085
2006-08-05,2,2,Date2006086
2006-08-06,7,7,Date2006087
2006-08-07,4,4,Date2006081
2006-08-07,4,4,Date2006081
2006-08-08,2,2,Date2006082
2006-08-09,6,6,Date2006083
2006-08-10,5,5,Date2006084
2006-08-11,6,7,Date2006085
2006-08-11,6,7,Date2006085
2006-08-12,5,5,Date2006086
2006-08-13,3,3,Date2006087
2006-08-14,1,1,Date2006081
2006-08-14,1,1,Date2006081
2006-08-15,2,2,Date2006082
2006-08-16,3,3,Date2006083
2006-08-17,5,5,Date2006084
2006-08-18,2,2,Date2006085
2006-08-18,2,2,Date2006085
2006-08-19,5,6,Date2006086
2006-08-20,2,2,Date2006087
2006-08-21,3,3,Date2006081
2006-08-21,3,3,Date2006081
2006-08-22,2,2,Date2006082
2006-08-23,5,5,Date2006083
2006-08-24,1,1,Date2006084
2006-08-25,7,7,Date2006085
2006-08-25,7,7,Date2006085
2006-08-26,10,11,Date2006086
2006-08-27,4,4,Date2006087
2006-08-28,2,2,Date2006081
2006-08-28,2,2,Date2006081
2006-08-29,5,5,Date2006082
2006-08-30,3,3,Date2006083
2006-08-31,3,3,Date2006084
2006-09-01,0,0,Date2006095
2006-09-01,0,0,Date2006095
2006-09-02,7,9,Date2006096
2006-09-03,2,3,Date2006097
2006-09-04,2,2,Date2006091
2006-09-04,2,2,Date2006091
2006-09-05,0,0,Date2006092
2006-09-06,4,4,Date2006093
2006-09-07,2,2,Date2006094
2006-09-08,5,5,Date2006095
2006-09-08,5,5,Date2006095
2006-09-09,7,8,Date2006096
2006-09-10,2,2,Date2006097
2006-09-11,0,0,Date2006091
2006-09-11,0,0,Date2006091
2006-09-12,6,6,Date2006092
2006-09-13,5,6,Date2006093
2006-09-14,6,6,Date2006094
2006-09-15,5,5,Date2006095
2006-09-15,5,5,Date2006095
2006-09-16,11,12,Date2006096
2006-09-17,5,5,Date2006097
2006-09-18,0,0,Date2006091
2006-09-18,0,0,Date2006091
2006-09-19,3,3,Date2006092
2006-09-20,4,4,Date2006093
2006-09-21,3,5,Date2006094
2006-09-22,5,6,Date2006095
2006-09-22,5,6,Date2006095
2006-09-23,8,8,Date2006096
2006-09-24,7,8,Date2006097
2006-09-25,6,6,Date2006091
2006-09-25,6,6,Date2006091
2006-09-26,2,9,Date2006092
2006-09-27,2,2,Date2006093
2006-09-28,2,2,Date2006094
2006-09-29,5,5,Date2006095
2006-09-29,5,5,Date2006095
2006-09-30,6,6,Date2006096
2006-10-01,5,5,Date2006107
2006-10-02,3,3,Date2006101
2006-10-02,3,3,Date2006101
2006-10-03,2,2,Date2006102
2006-10-04,3,3,Date2006103
2006-10-05,3,4,Date2006104
2006-10-06,7,7,Date2006105
2006-10-06,7,7,Date2006105
2006-10-07,10,10,Date2006106
2006-10-08,5,5,Date2006107
2006-10-09,4,4,Date2006101
2006-10-09,4,4,Date2006101
2006-10-10,2,2,Date2006102
2006-10-11,7,7,Date2006103
2006-10-12,1,1,Date2006104
2006-10-13,3,3,Date2006105
2006-10-13,3,3,Date2006105
2006-10-14,7,8,Date2006106
2006-10-15,5,5,Date2006107
2006-10-16,2,2,Date2006101
2006-10-16,2,2,Date2006101
2006-10-17,1,1,Date2006102
2006-10-18,4,4,Date2006103
2006-10-19,4,4,Date2006104
2006-10-20,8,8,Date2006105
2006-10-20,8,8,Date2006105
2006-10-21,4,4,Date2006106
2006-10-22,4,7,Date2006107
2006-10-23,2,2,Date2006101
2006-10-23,2,2,Date2006101
2006-10-24,1,1,Date2006102
2006-10-25,1,1,Date2006103
2006-10-26,1,1,Date2006104
2006-10-27,2,3,Date2006105
2006-10-27,2,3,Date2006105
2006-10-28,7,7,Date2006106
2006-10-29,5,5,Date2006107
2006-10-30,1,1,Date2006101
2006-10-30,1,1,Date2006101
2006-10-31,1,1,Date2006102
2006-11-01,6,6,Date2006113
2006-11-02,3,3,Date2006114
2006-11-03,7,8,Date2006115
2006-11-03,7,8,Date2006115
2006-11-04,5,5,Date2006116
2006-11-05,8,8,Date2006117
2006-11-06,4,4,Date2006111
2006-11-06,4,4,Date2006111
2006-11-07,4,5,Date2006112
2006-11-08,5,5,Date2006113
2006-11-09,0,0,Date2006114
2006-11-10,2,2,Date2006115
2006-11-10,2,2,Date2006115
2006-11-11,6,6,Date2006116
2006-11-12,3,3,Date2006117
2006-11-13,1,1,Date2006111
2006-11-13,1,1,Date2006111
2006-11-14,4,4,Date2006112
2006-11-15,3,3,Date2006113
2006-11-16,5,6,Date2006114
2006-11-17,3,3,Date2006115
2006-11-17,3,3,Date2006115
2006-11-18,6,8,Date2006116
2006-11-19,7,7,Date2006117
2006-11-20,3,3,Date2006111
2006-11-20,3,3,Date2006111
2006-11-21,5,6,Date2006112
2006-11-22,3,3,Date2006113
2006-11-23,3,3,Date2006114
2006-11-24,10,12,Date2006115
2006-11-24,10,12,Date2006115
2006-11-25,4,5,Date2006116
2006-11-26,5,5,Date2006117
2006-11-27,1,1,Date2006111
2006-11-27,1,1,Date2006111
2006-11-28,3,3,Date2006112
2006-11-29,6,6,Date2006113
2006-11-30,3,3,Date2006114
2006-12-01,14,14,Date2006125
2006-12-01,14,14,Date2006125
2006-12-02,9,9,Date2006126
2006-12-03,8,8,Date2006127
2006-12-04,5,5,Date2006121
2006-12-04,5,5,Date2006121
2006-12-05,1,1,Date2006122
2006-12-06,4,6,Date2006123
2006-12-07,4,4,Date2006124
2006-12-08,4,5,Date2006125
2006-12-08,4,5,Date2006125
2006-12-09,3,3,Date2006126
2006-12-10,6,6,Date2006127
2006-12-11,7,7,Date2006121
2006-12-11,7,7,Date2006121
2006-12-12,1,2,Date2006122
2006-12-13,3,3,Date2006123
2006-12-14,5,5,Date2006124
2006-12-15,7,9,Date2006125
2006-12-15,7,9,Date2006125
2006-12-16,3,3,Date2006126
2006-12-17,1,1,Date2006127
2006-12-18,4,4,Date2006121
2006-12-18,4,4,Date2006121
2006-12-19,3,4,Date2006122
2006-12-20,6,6,Date2006123
2006-12-21,5,5,Date2006124
2006-12-22,4,5,Date2006125
2006-12-22,4,5,Date2006125
2006-12-23,7,8,Date2006126
2006-12-24,2,2,Date2006127
2006-12-25,9,9,Date2006121
2006-12-25,9,9,Date2006121
2006-12-26,4,4,Date2006122
2006-12-27,3,4,Date2006123
2006-12-28,4,4,Date2006124
2006-12-29,1,1,Date2006125
2006-12-29,1,1,Date2006125
2006-12-30,2,2,Date2006126
2006-12-31,5,5,Date2006127
2007-01-01,2,2,Date2007011
2007-01-01,2,2,Date2007011
2007-01-02,4,4,Date2007012
2007-01-03,1,1,Date2007013
2007-01-04,4,5,Date2007014
2007-01-05,6,6,Date2007015
2007-01-05,6,6,Date2007015
2007-01-06,4,4,Date2007016
2007-01-07,2,3,Date2007017
2007-01-08,2,3,Date2007011
2007-01-08,2,3,Date2007011
2007-01-09,2,2,Date2007012
2007-01-10,0,0,Date2007013
2007-01-11,6,8,Date2007014
2007-01-12,5,5,Date2007015
2007-01-12,5,5,Date2007015
2007-01-13,7,7,Date2007016
2007-01-14,8,8,Date2007017
2007-01-15,2,2,Date2007011
2007-01-15,2,2,Date2007011
2007-01-16,9,10,Date2007012
2007-01-17,4,6,Date2007013
2007-01-18,1,1,Date2007014
2007-01-19,3,3,Date2007015
2007-01-19,3,3,Date2007015
2007-01-20,5,5,Date2007016
2007-01-21,5,6,Date2007017
2007-01-22,1,1,Date2007011
2007-01-22,1,1,Date2007011
2007-01-23,1,1,Date2007012
2007-01-24,4,5,Date2007013
2007-01-25,4,4,Date2007014
2007-01-26,7,8,Date2007015
2007-01-26,7,8,Date2007015
2007-01-27,1,1,Date2007016
2007-01-28,7,8,Date2007017
2007-01-29,4,4,Date2007011
2007-01-29,4,4,Date2007011
2007-01-30,6,6,Date2007012
2007-01-31,3,3,Date2007013
2007-02-01,3,3,Date2007024
2007-02-02,5,7,Date2007025
2007-02-02,5,7,Date2007025
2007-02-03,2,2,Date2007026
2007-02-04,8,8,Date2007027
2007-02-05,3,3,Date2007021
2007-02-05,3,3,Date2007021
2007-02-06,1,1,Date2007022
2007-02-07,2,2,Date2007023
2007-02-08,2,2,Date2007024
2007-02-09,6,9,Date2007025
2007-02-09,6,9,Date2007025
2007-02-10,4,4,Date2007026
2007-02-11,4,4,Date2007027
2007-02-12,3,3,Date2007021
2007-02-12,3,3,Date2007021
2007-02-13,1,1,Date2007022
2007-02-14,4,4,Date2007023
2007-02-15,2,2,Date2007024
2007-02-16,4,6,Date2007025
2007-02-16,4,6,Date2007025
2007-02-17,7,8,Date2007026
2007-02-18,7,7,Date2007027
2007-02-19,3,3,Date2007021
2007-02-19,3,3,Date2007021
2007-02-20,5,5,Date2007022
2007-02-21,6,7,Date2007023
2007-02-22,3,3,Date2007024
2007-02-23,4,4,Date2007025
2007-02-23,4,4,Date2007025
2007-02-24,4,4,Date2007026
2007-02-25,7,7,Date2007027
2007-02-26,6,6,Date2007021
2007-02-26,6,6,Date2007021
2007-02-27,4,4,Date2007022
2007-02-28,2,2,Date2007023
2007-03-01,3,3,Date2007034
2007-03-02,5,5,Date2007035
2007-03-02,5,5,Date2007035
2007-03-03,4,4,Date2007036
2007-03-04,4,5,Date2007037
2007-03-05,3,3,Date2007031
2007-03-05,3,3,Date2007031
2007-03-06,1,1,Date2007032
2007-03-07,13,13,Date2007033
2007-03-08,5,5,Date2007034
2007-03-09,6,6,Date2007035
2007-03-09,6,6,Date2007035
2007-03-10,10,11,Date2007036
2007-03-11,7,7,Date2007037
2007-03-12,1,1,Date2007031
2007-03-12,1,1,Date2007031
2007-03-13,3,3,Date2007032
2007-03-14,5,5,Date2007033
2007-03-15,2,2,Date2007034
2007-03-16,7,7,Date2007035
2007-03-16,7,7,Date2007035
2007-03-17,9,10,Date2007036
2007-03-18,5,5,Date2007037
2007-03-19,2,2,Date2007031
2007-03-19,2,2,Date2007031
2007-03-20,1,1,Date2007032
2007-03-21,4,4,Date2007033
2007-03-22,2,2,Date2007034
2007-03-23,6,8,Date2007035
2007-03-23,6,8,Date2007035
2007-03-24,8,8,Date2007036
2007-03-25,2,3,Date2007037
2007-03-26,7,7,Date2007031
2007-03-26,7,7,Date2007031
2007-03-27,3,3,Date2007032
2007-03-28,2,2,Date2007033
2007-03-29,3,3,Date2007034
2007-03-30,3,4,Date2007035
2007-03-30,3,4,Date2007035
2007-03-31,6,6,Date2007036
2007-04-01,3,3,Date2007047
2007-04-02,3,3,Date2007041
2007-04-02,3,3,Date2007041
2007-04-03,7,10,Date2007042
2007-04-04,4,5,Date2007043
2007-04-05,9,10,Date2007044
2007-04-06,3,3,Date2007045
2007-04-06,3,3,Date2007045
2007-04-07,5,5,Date2007046
2007-04-08,5,5,Date2007047
2007-04-09,3,4,Date2007041
2007-04-09,3,4,Date2007041
2007-04-10,3,3,Date2007042
2007-04-11,5,5,Date2007043
2007-04-12,3,4,Date2007044
2007-04-13,2,2,Date2007045
2007-04-13,2,2,Date2007045
2007-04-14,5,5,Date2007046
2007-04-15,4,4,Date2007047
2007-04-16,3,3,Date2007041
2007-04-16,3,3,Date2007041
2007-04-17,4,4,Date2007042
2007-04-18,4,4,Date2007043
2007-04-19,4,4,Date2007044
2007-04-20,7,7,Date2007045
2007-04-20,7,7,Date2007045
2007-04-21,3,3,Date2007046
2007-04-22,0,0,Date2007047
2007-04-23,2,3,Date2007041
2007-04-23,2,3,Date2007041
2007-04-24,3,4,Date2007042
2007-04-25,2,2,Date2007043
2007-04-26,4,8,Date2007044
2007-04-27,7,8,Date2007045
2007-04-27,7,8,Date2007045
2007-04-28,8,9,Date2007046
2007-04-29,4,5,Date2007047
2007-04-30,1,1,Date2007041
2007-04-30,1,1,Date2007041
2007-05-01,3,3,Date2007052
2007-05-02,4,5,Date2007053
2007-05-03,0,0,Date2007054
2007-05-04,2,2,Date2007055
2007-05-04,2,2,Date2007055
2007-05-05,4,4,Date2007056
2007-05-06,4,5,Date2007057
2007-05-07,4,4,Date2007051
2007-05-08,4,4,Date2007052
2007-05-09,5,5,Date2007053
2007-05-10,4,5,Date2007054
2007-05-11,2,2,Date2007055
2007-05-11,2,2,Date2007055
2007-05-12,7,7,Date2007056
2007-05-13,2,2,Date2007057
2007-05-14,0,0,Date2007051
2007-05-15,2,3,Date2007052
2007-05-16,7,7,Date2007053
2007-05-17,6,8,Date2007054
2007-05-18,4,4,Date2007055
2007-05-18,4,4,Date2007055
2007-05-19,5,6,Date2007056
2007-05-20,7,7,Date2007057
2007-05-21,3,3,Date2007051
2007-05-22,8,9,Date2007052
2007-05-23,1,1,Date2007053
2007-05-24,3,3,Date2007054
2007-05-25,6,8,Date2007055
2007-05-25,6,8,Date2007055
2007-05-26,8,8,Date2007056
2007-05-27,5,5,Date2007057
2007-05-28,2,2,Date2007051
2007-05-29,4,4,Date2007052
2007-05-30,3,3,Date2007053
2007-05-31,4,4,Date2007054
2007-06-01,2,2,Date2007065
2007-06-01,2,2,Date2007065
2007-06-02,1,1,Date2007066
2007-06-03,5,5,Date2007067
2007-06-04,5,5,Date2007061
2007-06-04,5,5,Date2007061
2007-06-05,3,13,Date2007062
2007-06-06,4,4,Date2007063
2007-06-07,1,1,Date2007064
2007-06-08,6,13,Date2007065
2007-06-08,6,13,Date2007065
2007-06-09,3,3,Date2007066
2007-06-10,0,0,Date2007067
2007-06-11,1,1,Date2007061
2007-06-11,1,1,Date2007061
2007-06-12,2,2,Date2007062
2007-06-13,2,2,Date2007063
2007-06-14,3,4,Date2007064
2007-06-15,3,3,Date2007065
2007-06-15,3,3,Date2007065
2007-06-16,10,10,Date2007066
2007-06-17,3,3,Date2007067
2007-06-18,3,3,Date2007061
2007-06-18,3,3,Date2007061
2007-06-19,4,4,Date2007062
2007-06-20,7,8,Date2007063
2007-06-21,2,2,Date2007064
2007-06-22,6,7,Date2007065
2007-06-22,6,7,Date2007065
2007-06-23,10,11,Date2007066
2007-06-24,6,6,Date2007067
2007-06-25,3,3,Date2007061
2007-06-25,3,3,Date2007061
2007-06-26,4,4,Date2007062
2007-06-27,3,3,Date2007063
2007-06-28,1,1,Date2007064
2007-06-29,4,5,Date2007065
2007-06-29,4,5,Date2007065
2007-06-30,3,3,Date2007066
2007-07-01,3,3,Date2007077
2007-07-02,4,4,Date2007071
2007-07-02,4,4,Date2007071
2007-07-03,7,8,Date2007072
2007-07-04,2,2,Date2007073
2007-07-05,5,5,Date2007074
2007-07-06,7,7,Date2007075
2007-07-06,7,7,Date2007075
2007-07-07,2,2,Date2007076
2007-07-08,2,3,Date2007077
2007-07-09,2,2,Date2007071
2007-07-09,2,2,Date2007071
2007-07-10,2,3,Date2007072
2007-07-11,3,3,Date2007073
2007-07-12,2,2,Date2007074
2007-07-13,1,1,Date2007075
2007-07-13,1,1,Date2007075
2007-07-14,6,6,Date2007076
2007-07-15,5,5,Date2007077
2007-07-16,3,3,Date2007071
2007-07-16,3,3,Date2007071
2007-07-17,4,4,Date2007072
2007-07-18,5,5,Date2007073
2007-07-19,8,8,Date2007074
2007-07-20,9,9,Date2007075
2007-07-20,9,9,Date2007075
2007-07-21,5,5,Date2007076
2007-07-22,4,4,Date2007077
2007-07-23,4,4,Date2007071
2007-07-23,4,4,Date2007071
2007-07-24,3,3,Date2007072
2007-07-25,3,3,Date2007073
2007-07-26,4,4,Date2007074
2007-07-27,4,6,Date2007075
2007-07-27,4,6,Date2007075
2007-07-28,5,5,Date2007076
2007-07-29,4,6,Date2007077
2007-07-30,6,6,Date2007071
2007-07-30,6,6,Date2007071
2007-07-31,3,3,Date2007072
2007-08-01,3,3,Date2007083
2007-08-02,3,3,Date2007084
2007-08-03,1,1,Date2007085
2007-08-03,1,1,Date2007085
2007-08-04,2,2,Date2007086
2007-08-05,3,3,Date2007087
2007-08-06,4,4,Date2007081
2007-08-06,4,4,Date2007081
2007-08-07,5,5,Date2007082
2007-08-08,2,2,Date2007083
2007-08-09,2,4,Date2007084
2007-08-10,10,10,Date2007085
2007-08-10,10,10,Date2007085
2007-08-11,2,2,Date2007086
2007-08-12,5,5,Date2007087
2007-08-13,2,3,Date2007081
2007-08-13,2,3,Date2007081
2007-08-14,4,4,Date2007082
2007-08-15,3,4,Date2007083
2007-08-16,1,1,Date2007084
2007-08-17,6,7,Date2007085
2007-08-17,6,7,Date2007085
2007-08-18,8,8,Date2007086
2007-08-19,3,4,Date2007087
2007-08-20,3,5,Date2007081
2007-08-20,3,5,Date2007081
2007-08-21,2,2,Date2007082
2007-08-22,5,6,Date2007083
2007-08-23,1,1,Date2007084
2007-08-24,8,9,Date2007085
2007-08-24,8,9,Date2007085
2007-08-25,3,3,Date2007086
2007-08-26,3,4,Date2007087
2007-08-27,7,8,Date2007081
2007-08-27,7,8,Date2007081
2007-08-28,3,3,Date2007082
2007-08-29,4,4,Date2007083
2007-08-30,5,6,Date2007084
2007-08-31,2,2,Date2007085
2007-08-31,2,2,Date2007085
2007-09-01,1,1,Date2007096
2007-09-02,1,1,Date2007097
2007-09-03,3,3,Date2007091
2007-09-03,3,3,Date2007091
2007-09-04,2,2,Date2007092
2007-09-05,2,2,Date2007093
2007-09-06,9,9,Date2007094
2007-09-07,3,3,Date2007095
2007-09-07,3,3,Date2007095
2007-09-08,4,4,Date2007096
2007-09-09,5,5,Date2007097
2007-09-10,1,1,Date2007091
2007-09-10,1,1,Date2007091
2007-09-11,4,4,Date2007092
2007-09-12,2,2,Date2007093
2007-09-13,3,3,Date2007094
2007-09-14,6,7,Date2007095
2007-09-14,6,7,Date2007095
2007-09-15,6,6,Date2007096
2007-09-16,7,7,Date2007097
2007-09-17,4,5,Date2007091
2007-09-17,4,5,Date2007091
2007-09-18,1,1,Date2007092
2007-09-19,4,4,Date2007093
2007-09-20,3,4,Date2007094
2007-09-21,7,8,Date2007095
2007-09-21,7,8,Date2007095
2007-09-22,5,6,Date2007096
2007-09-23,4,4,Date2007097
2007-09-24,5,5,Date2007091
