Date,Number of fatal crashes,Number Fatalities,DateID
1989-11-27,6,6,Date1989111
1989-11-28,6,7,Date1989112
1989-11-29,4,4,Date1989113
1989-11-30,7,7,Date1989114
1989-12-01,6,7,Date1989125
1989-12-01,6,7,Date1989125
1989-12-02,10,11,Date1989126
1989-12-03,11,12,Date1989127
1989-12-04,9,10,Date1989121
1989-12-04,9,10,Date1989121
1989-12-05,5,5,Date1989122
1989-12-06,5,5,Date1989123
1989-12-07,7,8,Date1989124
1989-12-08,8,9,Date1989125
1989-12-08,8,9,Date1989125
1989-12-09,11,14,Date1989126
1989-12-10,8,8,Date1989127
1989-12-11,11,17,Date1989121
1989-12-11,11,17,Date1989121
1989-12-12,4,4,Date1989122
1989-12-13,6,8,Date1989123
1989-12-14,11,12,Date1989124
1989-12-15,7,8,Date1989125
1989-12-15,7,8,Date1989125
1989-12-16,19,19,Date1989126
1989-12-17,8,8,Date1989127
1989-12-18,6,7,Date1989121
1989-12-18,6,7,Date1989121
1989-12-19,6,8,Date1989122
1989-12-20,10,11,Date1989123
1989-12-21,8,11,Date1989124
1989-12-22,14,48,Date1989125
1989-12-22,14,48,Date1989125
1989-12-23,6,7,Date1989126
1989-12-24,4,4,Date1989127
1989-12-25,1,1,Date1989121
1989-12-25,1,1,Date1989121
1989-12-26,11,16,Date1989122
1989-12-27,6,9,Date1989123
1989-12-28,8,8,Date1989124
1989-12-29,4,4,Date1989125
1989-12-29,4,4,Date1989125
1989-12-30,6,6,Date1989126
1989-12-31,2,2,Date1989127
1990-01-01,8,10,Date1990011
1990-01-01,8,10,Date1990011
1990-01-02,2,2,Date1990012
1990-01-03,6,7,Date1990013
1990-01-04,3,4,Date1990014
1990-01-05,4,4,Date1990015
1990-01-05,4,4,Date1990015
1990-01-06,8,10,Date1990016
1990-01-07,4,5,Date1990017
1990-01-08,8,10,Date1990011
1990-01-08,8,10,Date1990011
1990-01-09,2,2,Date1990012
1990-01-10,4,4,Date1990013
1990-01-11,4,4,Date1990014
1990-01-12,7,10,Date1990015
1990-01-12,7,10,Date1990015
1990-01-13,7,7,Date1990016
1990-01-14,8,12,Date1990017
1990-01-15,3,3,Date1990011
1990-01-15,3,3,Date1990011
1990-01-16,4,4,Date1990012
1990-01-17,3,3,Date1990013
1990-01-18,5,5,Date1990014
1990-01-19,9,10,Date1990015
1990-01-19,9,10,Date1990015
1990-01-20,0,0,Date1990016
1990-01-21,2,2,Date1990017
1990-01-22,8,10,Date1990011
1990-01-22,8,10,Date1990011
1990-01-23,8,8,Date1990012
1990-01-24,2,2,Date1990013
1990-01-25,7,7,Date1990014
1990-01-26,4,4,Date1990015
1990-01-26,4,4,Date1990015
1990-01-27,4,4,Date1990016
1990-01-28,5,6,Date1990017
1990-01-29,6,7,Date1990011
1990-01-29,6,7,Date1990011
1990-01-30,2,2,Date1990012
1990-01-31,6,6,Date1990013
1990-02-01,11,13,Date1990024
1990-02-02,6,8,Date1990025
1990-02-02,6,8,Date1990025
1990-02-03,5,5,Date1990026
1990-02-04,6,6,Date1990027
1990-02-05,1,1,Date1990021
1990-02-05,1,1,Date1990021
1990-02-06,5,5,Date1990022
1990-02-07,9,10,Date1990023
1990-02-08,4,4,Date1990024
1990-02-09,4,4,Date1990025
1990-02-09,4,4,Date1990025
1990-02-10,4,4,Date1990026
1990-02-11,4,4,Date1990027
1990-02-12,4,5,Date1990021
1990-02-12,4,5,Date1990021
1990-02-13,6,6,Date1990022
1990-02-14,3,6,Date1990023
1990-02-15,4,4,Date1990024
1990-02-16,6,8,Date1990025
1990-02-16,6,8,Date1990025
1990-02-17,5,7,Date1990026
1990-02-18,7,7,Date1990027
1990-02-19,7,9,Date1990021
1990-02-19,7,9,Date1990021
1990-02-20,5,6,Date1990022
1990-02-21,4,4,Date1990023
1990-02-22,3,3,Date1990024
1990-02-23,1,1,Date1990025
1990-02-23,1,1,Date1990025
1990-02-24,10,10,Date1990026
1990-02-25,10,11,Date1990027
1990-02-26,5,5,Date1990021
1990-02-26,5,5,Date1990021
1990-02-27,5,5,Date1990022
1990-02-28,4,5,Date1990023
1990-03-01,9,9,Date1990034
1990-03-02,4,5,Date1990035
1990-03-02,4,5,Date1990035
1990-03-03,9,10,Date1990036
1990-03-04,5,6,Date1990037
1990-03-05,6,8,Date1990031
1990-03-05,6,8,Date1990031
1990-03-06,4,4,Date1990032
1990-03-07,5,5,Date1990033
1990-03-08,9,9,Date1990034
1990-03-09,5,6,Date1990035
1990-03-09,5,6,Date1990035
1990-03-10,9,10,Date1990036
1990-03-11,10,11,Date1990037
1990-03-12,7,11,Date1990031
1990-03-12,7,11,Date1990031
1990-03-13,6,6,Date1990032
1990-03-14,4,5,Date1990033
1990-03-15,6,6,Date1990034
1990-03-16,4,4,Date1990035
1990-03-16,4,4,Date1990035
1990-03-17,6,7,Date1990036
1990-03-18,7,8,Date1990037
1990-03-19,9,10,Date1990031
1990-03-19,9,10,Date1990031
1990-03-20,5,5,Date1990032
1990-03-21,3,3,Date1990033
1990-03-22,4,4,Date1990034
1990-03-23,8,11,Date1990035
1990-03-23,8,11,Date1990035
1990-03-24,7,7,Date1990036
1990-03-25,9,9,Date1990037
1990-03-26,7,8,Date1990031
1990-03-26,7,8,Date1990031
1990-03-27,3,4,Date1990032
1990-03-28,7,7,Date1990033
1990-03-29,9,9,Date1990034
1990-03-30,5,6,Date1990035
1990-03-30,5,6,Date1990035
1990-03-31,7,8,Date1990036
1990-04-01,7,8,Date1990047
1990-04-02,3,3,Date1990041
1990-04-02,3,3,Date1990041
1990-04-03,7,7,Date1990042
1990-04-04,8,8,Date1990043
1990-04-05,4,7,Date1990044
1990-04-06,7,8,Date1990045
1990-04-06,7,8,Date1990045
1990-04-07,12,13,Date1990046
1990-04-08,1,1,Date1990047
1990-04-09,5,5,Date1990041
1990-04-09,5,5,Date1990041
1990-04-10,3,3,Date1990042
1990-04-11,5,5,Date1990043
1990-04-12,7,9,Date1990044
1990-04-13,5,7,Date1990045
1990-04-13,5,7,Date1990045
1990-04-14,7,7,Date1990046
1990-04-15,9,11,Date1990047
1990-04-16,6,8,Date1990041
1990-04-16,6,8,Date1990041
1990-04-17,3,3,Date1990042
1990-04-18,3,3,Date1990043
1990-04-19,6,7,Date1990044
1990-04-20,3,3,Date1990045
1990-04-20,3,3,Date1990045
1990-04-21,4,4,Date1990046
1990-04-22,6,7,Date1990047
1990-04-23,3,3,Date1990041
1990-04-23,3,3,Date1990041
1990-04-24,3,3,Date1990042
1990-04-25,5,5,Date1990043
1990-04-26,5,5,Date1990044
