Crash ID,DateID,LocationID,Crash Type,Number Fatalities,Speed Limit,National LGA Name 2021,TimeID,VehicleID,EventID,PeopleID
20044047,,,Multiple,1,Medium,,Time444,Veh1,Event2,Peop27006
20041304,Date2004057,,Single,1,Fast,,Time500,Veh1,Event2,Peop27007
20042248,,,Single,1,Fast,,Time501,Veh3,Event2,Peop27008
20042249,,,Multiple,1,Medium,,Time15,Veh1,Event2,Peop27009
20044030,,,Single,2,Fast,,Time1354,Veh1,Event2,"Peop27010, Peop27011"
20042043,,,Single,1,Fast,,Time756,Veh1,Event2,Peop27012
20041017,,,Single,1,Fast,,Time844,Veh1,Event2,Peop27013
20043061,,,Single,1,Fast,,Time1,Veh1,Event2,Peop27015
20042089,,,Single,1,,,Time1,Veh1,Event2,Peop27014
20042290,,,Single,1,Medium,,Time509,Veh1,Event2,Peop27016
20044057,,,Multiple,1,Medium,,Time882,Veh1,Event2,Peop27017
20043122,,,Single,1,Fast,,Time106,Veh1,Event2,Peop27018
20042231,,,Multiple,1,Fast,,Time169,Veh5,Event2,Peop27019
20041455,,,Single,1,Fast,,Time240,Veh1,Event2,Peop27020
20041303,,,Single,1,Fast,,Time411,Veh1,Event2,Peop27021
20042140,,,Multiple,1,Medium,,Time920,Veh1,Event2,Peop27022
20043250,,,Multiple,1,Medium,,Time55,Veh1,Event2,Peop27023
20041418,,,Multiple,1,Fast,,Time352,Veh1,Event2,Peop27024
20042179,,,Multiple,1,Medium,,Time577,Veh1,Event2,Peop27025
20045027,,,Single,1,Medium,,Time58,Veh1,Event2,Peop27026
20041273,,,Multiple,1,Medium,,Time58,Veh1,Event2,Peop27027
20043174,,,Single,1,Fast,,Time6,Veh1,Event2,Peop27028
20042093,,,Single,1,Fast,,Time42,Veh1,Event2,Peop27029
20041052,,,Single,1,Medium,,Time185,Veh1,Event2,Peop27030
20043033,,,Single,1,Medium,,Time64,Veh1,Event2,Peop27031
20042275,,,Multiple,1,Medium,,Time191,Veh1,Event2,Peop27032
20041372,,,Single,1,Medium,,Time11,Veh1,Event2,Peop27033
20041201,,,Single,1,Fast,,Time130,Veh1,Event2,Peop27034
20045118,,,Single,1,Fast,,Time103,Veh1,Event2,Peop27035
20041002,,,Single,1,Medium,,Time348,Veh1,Event2,Peop27036
20042247,,,Single,1,Fast,,Time361,Veh1,Event2,Peop27037
20043192,Date2004054,,Single,1,Medium,,Time50,Veh1,Event2,Peop27038
20042158,,,Multiple,1,Medium,,Time544,Veh1,Event2,Peop27039
20041338,,,Single,1,Fast,,Time1307,Veh3,Event2,Peop27040
