TimeID,Hour,TimeGroup
396,21.0,Night
397,23.0,Night
398,0.0,Early Morning
399,1.0,Early Morning
400,12.0,Afternoon
401,15.0,Afternoon
402,18.0,Evening
403,4.0,Early Morning
404,7.0,Morning
405,14.0,Afternoon
406,19.0,Evening
407,1.0,Early Morning
408,1.0,Early Morning
409,2.0,Early Morning
410,7.0,Morning
411,22.0,Night
412,0.0,Early Morning
413,9.0,Morning
414,9.0,Morning
415,13.0,Afternoon
416,14.0,Afternoon
417,2.0,Early Morning
418,7.0,Morning
419,8.0,Morning
420,9.0,Morning
421,11.0,Morning
422,12.0,Afternoon
423,13.0,Afternoon
424,13.0,Afternoon
425,18.0,Evening
426,12.0,Afternoon
427,14.0,Afternoon
428,4.0,Early Morning
429,1.0,Early Morning
430,1.0,Early Morning
431,3.0,Early Morning
432,3.0,Early Morning
433,5.0,Early Morning
434,11.0,Morning
435,13.0,Afternoon
436,13.0,Afternoon
437,14.0,Afternoon
438,14.0,Afternoon
439,15.0,Afternoon
440,17.0,Afternoon
441,17.0,Afternoon
442,23.0,Night
443,23.0,Night
444,2.0,Early Morning
445,6.0,Morning
446,8.0,Morning
447,11.0,Morning
448,13.0,Afternoon
449,14.0,Afternoon
450,22.0,Night
451,7.0,Morning
452,9.0,Morning
453,19.0,Evening
454,20.0,Evening
455,21.0,Night
456,0.0,Early Morning
457,5.0,Early Morning
458,20.0,Evening
459,5.0,Early Morning
460,7.0,Morning
461,2.0,Early Morning
462,14.0,Afternoon
463,3.0,Early Morning
464,7.0,Morning
465,9.0,Morning
466,16.0,Afternoon
467,20.0,Evening
468,2.0,Early Morning
469,5.0,Early Morning
470,10.0,Morning
471,16.0,Afternoon
472,17.0,Afternoon
473,21.0,Night
474,11.0,Morning
475,13.0,Afternoon
476,14.0,Afternoon
477,19.0,Evening
478,0.0,Early Morning
479,12.0,Afternoon
480,14.0,Afternoon
481,2.0,Early Morning
482,17.0,Afternoon
483,20.0,Evening
484,6.0,Morning
485,8.0,Morning
486,13.0,Afternoon
487,7.0,Morning
488,13.0,Afternoon
489,20.0,Evening
490,16.0,Afternoon
491,0.0,Early Morning
492,21.0,Night
493,9.0,Morning
494,15.0,Afternoon
495,21.0,Night
496,0.0,Early Morning
497,2.0,Early Morning
498,16.0,Afternoon
499,0.0,Early Morning
500,0.0,Early Morning
501,8.0,Morning
502,10.0,Morning
503,11.0,Morning
504,5.0,Early Morning
505,7.0,Morning
506,9.0,Morning
507,16.0,Afternoon
508,4.0,Early Morning
509,11.0,Morning
510,13.0,Afternoon
511,14.0,Afternoon
512,20.0,Evening
513,21.0,Night
514,21.0,Night
515,23.0,Night
516,1.0,Early Morning
517,4.0,Early Morning
518,16.0,Afternoon
519,10.0,Morning
520,12.0,Afternoon
521,12.0,Afternoon
522,15.0,Afternoon
523,23.0,Night
524,17.0,Afternoon
525,18.0,Evening
526,19.0,Evening
527,20.0,Evening
528,22.0,Night
529,6.0,Morning
530,10.0,Morning
531,14.0,Afternoon
532,15.0,Afternoon
533,21.0,Night
534,7.0,Morning
535,8.0,Morning
536,10.0,Morning
537,15.0,Afternoon
538,2.0,Early Morning
539,12.0,Afternoon
540,13.0,Afternoon
541,6.0,Morning
542,20.0,Evening
543,2.0,Early Morning
544,9.0,Morning
545,13.0,Afternoon
546,21.0,Night
547,23.0,Night
548,14.0,Afternoon
549,3.0,Early Morning
550,5.0,Early Morning
551,6.0,Morning
552,13.0,Afternoon
553,14.0,Afternoon
554,21.0,Night
555,23.0,Night
556,5.0,Early Morning
557,14.0,Afternoon
558,18.0,Evening
559,20.0,Evening
560,10.0,Morning
561,11.0,Morning
562,15.0,Afternoon
563,18.0,Evening
564,23.0,Night
565,1.0,Early Morning
566,5.0,Early Morning
567,8.0,Morning
568,7.0,Morning
569,9.0,Morning
570,16.0,Afternoon
571,18.0,Evening
572,6.0,Morning
573,8.0,Morning
574,23.0,Night
575,17.0,Afternoon
576,12.0,Afternoon
577,4.0,Early Morning
578,15.0,Afternoon
579,16.0,Afternoon
580,2.0,Early Morning
581,20.0,Evening
582,21.0,Night
583,1.0,Early Morning
584,3.0,Early Morning
585,5.0,Early Morning
586,11.0,Morning
587,14.0,Afternoon
588,22.0,Night
589,20.0,Evening
590,22.0,Night
591,12.0,Afternoon
592,16.0,Afternoon
593,0.0,Early Morning
594,3.0,Early Morning
595,7.0,Morning
596,14.0,Afternoon
597,1.0,Early Morning
598,3.0,Early Morning
599,9.0,Morning
600,11.0,Morning
601,23.0,Night
602,0.0,Early Morning
603,2.0,Early Morning
604,18.0,Evening
605,18.0,Evening
606,21.0,Night
607,15.0,Afternoon
608,17.0,Afternoon
609,5.0,Early Morning
610,8.0,Morning
611,16.0,Afternoon
612,9.0,Morning
613,4.0,Early Morning
614,10.0,Morning
615,15.0,Afternoon
616,15.0,Afternoon
617,18.0,Evening
618,23.0,Night
619,19.0,Evening
620,19.0,Evening
621,19.0,Evening
622,6.0,Morning
623,10.0,Morning
624,14.0,Afternoon
625,18.0,Evening
626,0.0,Early Morning
627,8.0,Morning
628,20.0,Evening
629,20.0,Evening
630,20.0,Evening
631,9.0,Morning
632,22.0,Night
633,23.0,Night
634,9.0,Morning
635,1.0,Early Morning
636,11.0,Morning
637,13.0,Afternoon
638,14.0,Afternoon
639,4.0,Early Morning
640,5.0,Early Morning
641,6.0,Morning
642,9.0,Morning
643,5.0,Early Morning
644,8.0,Morning
645,15.0,Afternoon
646,0.0,Early Morning
647,3.0,Early Morning
648,6.0,Morning
649,8.0,Morning
650,7.0,Morning
651,5.0,Early Morning
652,16.0,Afternoon
653,17.0,Afternoon
654,17.0,Afternoon
655,14.0,Afternoon
656,16.0,Afternoon
657,18.0,Evening
658,18.0,Evening
659,19.0,Evening
660,9.0,Morning
661,13.0,Afternoon
662,16.0,Afternoon
663,23.0,Night
664,7.0,Morning
665,11.0,Morning
666,1.0,Early Morning
667,21.0,Night
668,6.0,Morning
669,12.0,Afternoon
670,15.0,Afternoon
671,10.0,Morning
672,23.0,Night
673,9.0,Morning
674,14.0,Afternoon
675,15.0,Afternoon
676,13.0,Afternoon
677,0.0,Early Morning
678,3.0,Early Morning
679,14.0,Afternoon
680,16.0,Afternoon
681,19.0,Evening
682,10.0,Morning
683,14.0,Afternoon
684,0.0,Early Morning
685,10.0,Morning
686,15.0,Afternoon
687,16.0,Afternoon
688,23.0,Night
689,11.0,Morning
690,7.0,Morning
691,9.0,Morning
692,15.0,Afternoon
693,16.0,Afternoon
694,17.0,Afternoon
695,23.0,Night
696,10.0,Morning
697,22.0,Night
698,1.0,Early Morning
699,5.0,Early Morning
700,11.0,Morning
701,12.0,Afternoon
702,5.0,Early Morning
703,8.0,Morning
704,13.0,Afternoon
705,13.0,Afternoon
706,19.0,Evening
707,21.0,Night
708,9.0,Morning
709,0.0,Early Morning
710,6.0,Morning
711,6.0,Morning
712,7.0,Morning
713,14.0,Afternoon
714,10.0,Morning
715,12.0,Afternoon
716,15.0,Afternoon
717,14.0,Afternoon
718,15.0,Afternoon
719,7.0,Morning
